,0.0
fawn,2.8571408163279885e-06
gai,-5.714281632655977e-06
saimin,2.1428556122459913e-06
askew,-3.5714260204099853e-06
woods,-1.4285704081639942e-06
clotted,-7.142852040819971e-07
spiders,7.142852040819971e-07
hanging,-2.1428556122459913e-06
paiza,0.0
woody,4.99999642857398e-06
northsight,1.4285704081639942e-06
comically,7.142852040819971e-07
gae,-7.142852040819971e-07
sevens,1.4285704081639942e-06
canes,0.0
chatter,1.4285704081639942e-06
scold,0.0
originality,-6.428566836737973e-06
refunding,2.8571408163279885e-06
caned,-7.142852040819971e-07
calpico,2.1428556122459913e-06
bruschetta,4.99999642857398e-06
stipulate,-1.4285704081639942e-06
fattiness,4.2857112244919825e-06
holyrood,5.714281632655977e-06
taj,4.2857112244919825e-06
bringing,1.1428563265311954e-05
tcby,7.142852040819971e-07
revelers,-2.1428556122459913e-06
wooded,1.4285704081639942e-06
spacy,1.4285704081639942e-06
grueling,-9.285707653065962e-06
broiler,5.714281632655977e-06
wooden,0.0
wholemeal,7.142852040819971e-07
condessa,0.0
wednesday,-7.142852040819971e-07
broiled,2.8571408163279885e-06
tak,1.4285704081639942e-06
crotch,3.5714260204099853e-06
chimchurri,2.8571408163279885e-06
stereotypical,-7.857137244901968e-06
caramelo,0.0
bbqs,-4.99999642857398e-06
chimichuri,2.8571408163279885e-06
expeirence,0.0
blynk,1.4285704081639942e-06
complainers,3.5714260204099853e-06
scraper,-4.2857112244919825e-06
270,-1.4285704081639942e-06
274,-7.142852040819971e-07
275,4.2857112244919825e-06
277,1.4285704081639942e-06
scraped,-9.285707653065962e-06
snuggled,0.0
errors,-9.99999285714796e-06
deferred,2.1428556122459913e-06
reeling,-3.5714260204099853e-06
cyprus,7.142852040819971e-07
cooking,-6.428566836737973e-06
huong,0.0
salsify,-7.142852040819971e-07
designing,-4.99999642857398e-06
magees,-7.142852040819971e-07
hallucinating,1.4285704081639942e-06
succumb,0.0
shocks,1.4285704081639942e-06
chins,2.1428556122459913e-06
brainwashed,-2.1428556122459913e-06
ching,-2.1428556122459913e-06
china,4.2857112244919825e-06
wagyu,3.5714260204099853e-06
affiliated,7.142852040819971e-07
babaganoosh,-2.1428556122459913e-06
bumbleberry,-1.4285704081639942e-06
wiseguy,-4.99999642857398e-06
natured,-2.8571408163279885e-06
reggae,1.4285704081639942e-06
kids,2.8571408163279885e-06
uplifting,-1.4285704081639942e-06
robata,-7.142852040819971e-07
climbed,2.1428556122459913e-06
omellette,2.1428556122459913e-06
controversy,7.142852040819971e-07
spotty,-3.5714260204099853e-06
golden,1.4999989285721938e-05
cobblers,4.99999642857398e-06
projection,7.142852040819971e-07
orangish,-4.99999642857398e-06
conditions,-8.571422448983965e-06
stern,0.0
battista,-7.857137244901968e-06
agassi,0.0
dna,5.714281632655977e-06
dnc,0.0
catchy,-7.142852040819971e-06
abbreviations,-7.142852040819971e-07
cannibal,2.8571408163279885e-06
dnt,7.142852040819971e-07
music,-1.4285704081639942e-06
therefore,-3.5714260204099853e-06
violently,-8.571422448983965e-06
populations,7.142852040819971e-07
kneader,-2.1428556122459913e-06
crooner,7.142852040819971e-07
yahoo,2.1428556122459913e-06
felipes,-7.142852040819971e-07
buffallo,0.0
unpack,1.4285704081639942e-06
exhorbitant,-2.1428556122459913e-06
circumstances,1.4285704081639942e-06
intake,1.4285704081639942e-06
morally,2.1428556122459913e-06
locked,-7.857137244901968e-06
toxins,1.4285704081639942e-06
locker,-2.8571408163279885e-06
busyness,7.142852040819971e-07
tomahawk,-1.4285704081639942e-06
matilda,7.142852040819971e-07
yummily,1.4285704081639942e-06
capsaicin,2.1428556122459913e-06
wang,-3.5714260204099853e-06
wand,2.1428556122459913e-06
pints,9.285707653065962e-06
kaprow,2.1428556122459913e-06
papillote,0.0
dunkin,1.4285704081639942e-06
diappointed,1.4285704081639942e-06
wans,0.0
callin,1.4285704081639942e-06
want,-4.99999642857398e-06
cookers,-1.4285704081639942e-06
copycat,-7.142852040819971e-07
pinto,8.571422448983965e-06
cookery,2.1428556122459913e-06
absolute,0.0
mcmuffin,-9.285707653065962e-06
sugarless,-1.4285704081639942e-06
travel,3.5714260204099853e-06
copious,-7.142852040819971e-06
callie,-7.142852040819971e-07
exelent,0.0
barstools,-2.1428556122459913e-06
topings,2.8571408163279885e-06
cadence,0.0
bombbb,3.5714260204099853e-06
taguara,-7.142852040819971e-07
eggrolls,-7.857137244901968e-06
dinosaurs,3.5714260204099853e-06
modest,-4.2857112244919825e-06
promotion,-4.2857112244919825e-06
colorfully,0.0
sickening,-5.714281632655977e-06
tulip,1.4285704081639942e-06
18th,7.142852040819971e-07
concoction,1.4285704081639942e-06
chandon,-7.142852040819971e-07
tantalizing,4.99999642857398e-06
nonsensical,7.142852040819971e-07
rawhide,-1.4285704081639942e-06
zan,7.142852040819971e-07
welcomed,1.3571418877557944e-05
spagos,-7.142852040819971e-07
whizzing,2.8571408163279885e-06
