,0.0
fawn,3.7499976562514647e-06
gai,-9.374994140628661e-06
saimin,0.0
askew,-2.4999984375009767e-06
woods,-2.4999984375009767e-06
clotted,-1.8749988281257323e-06
spiders,6.249996093752442e-07
hanging,6.249996093752442e-07
paiza,0.0
woody,4.9999968750019534e-06
northsight,1.2499992187504884e-06
comically,6.249996093752442e-07
gae,-1.2499992187504884e-06
sevens,1.2499992187504884e-06
canes,4.9999968750019534e-06
chatter,4.9999968750019534e-06
scold,-6.249996093752442e-07
originality,-3.124998046876221e-06
refunding,2.4999984375009767e-06
caned,-6.249996093752442e-07
calpico,2.4999984375009767e-06
bruschetta,6.249996093752442e-07
stipulate,-1.2499992187504884e-06
fattiness,3.7499976562514647e-06
holyrood,3.7499976562514647e-06
taj,-4.374997265626709e-06
bringing,3.7499976562514647e-06
tcby,6.249996093752442e-07
revelers,-1.2499992187504884e-06
wooded,1.2499992187504884e-06
spacy,-6.249996093752442e-07
grueling,-8.124994921878174e-06
broiler,5.624996484377197e-06
wooden,4.374997265626709e-06
wholemeal,6.249996093752442e-07
condessa,0.0
wednesday,3.124998046876221e-06
broiled,3.124998046876221e-06
tak,1.2499992187504884e-06
crotch,2.4999984375009767e-06
chimchurri,2.4999984375009767e-06
stereotypical,-8.749994531253418e-06
caramelo,6.249996093752442e-07
bbqs,-4.374997265626709e-06
chimichuri,1.2499992187504884e-06
expeirence,0.0
blynk,1.2499992187504884e-06
complainers,3.7499976562514647e-06
scraper,-3.7499976562514647e-06
270,-2.4999984375009767e-06
274,-6.249996093752442e-07
275,2.4999984375009767e-06
277,1.2499992187504884e-06
scraped,-7.499995312502929e-06
snuggled,0.0
errors,-8.124994921878174e-06
deferred,1.8749988281257323e-06
reeling,-3.124998046876221e-06
cyprus,1.8749988281257323e-06
cooking,6.249996093752442e-06
huong,-1.2499992187504884e-06
salsify,-6.249996093752442e-07
designing,-5.624996484377197e-06
magees,-6.249996093752442e-07
hallucinating,1.2499992187504884e-06
succumb,6.249996093752442e-07
shocks,0.0
chins,1.8749988281257323e-06
brainwashed,-1.8749988281257323e-06
ching,-6.249996093752442e-07
china,3.124998046876221e-06
wagyu,-1.2499992187504884e-06
affiliated,-1.2499992187504884e-06
