,0.0
fawn,2.7027012417831126e-06
gai,-4.32432198685298e-06
saimin,2.16216099342649e-06
askew,-2.16216099342649e-06
woods,-1.081080496713245e-06
clotted,-1.081080496713245e-06
spiders,-5.405402483566225e-07
hanging,4.864862235209603e-06
paiza,1.6216207450698676e-06
woody,5.405402483566225e-06
northsight,1.6216207450698676e-06
comically,2.16216099342649e-06
gae,0.0
sevens,1.081080496713245e-06
canes,-5.405402483566225e-07
chatter,2.7027012417831126e-06
scold,1.6216207450698676e-06
originality,1.081080496713245e-06
refunding,0.0
caned,-1.081080496713245e-06
calpico,1.6216207450698676e-06
bruschetta,-1.081080496713245e-06
stipulate,-1.081080496713245e-06
fattiness,1.081080496713245e-06
holyrood,4.32432198685298e-06
taj,-3.243241490139735e-06
bringing,3.7837817384963576e-06
tcby,5.405402483566225e-07
revelers,-1.6216207450698676e-06
wooded,3.243241490139735e-06
spacy,0.0
grueling,-8.64864397370596e-06
broiler,5.405402483566225e-07
wooden,3.7837817384963576e-06
wholemeal,1.6216207450698676e-06
condessa,5.405402483566225e-07
wednesday,-4.32432198685298e-06
broiled,5.405402483566225e-06
tak,1.6216207450698676e-06
crotch,1.6216207450698676e-06
chimchurri,5.405402483566225e-07
stereotypical,-6.48648298027947e-06
caramelo,-5.405402483566225e-07
bbqs,-2.7027012417831126e-06
chimichuri,0.0
expeirence,0.0
blynk,0.0
complainers,8.108103725349337e-06
scraper,-2.16216099342649e-06
270,2.16216099342649e-06
274,-5.405402483566225e-07
275,2.7027012417831126e-06
277,1.081080496713245e-06
scraped,-9.729724470419205e-06
snuggled,0.0
errors,-5.405402483566225e-06
deferred,-5.405402483566225e-07
reeling,-2.16216099342649e-06
cyprus,5.405402483566225e-06
cooking,1.081080496713245e-06
huong,-3.243241490139735e-06
salsify,-5.405402483566225e-07
designing,-4.864862235209603e-06
magees,-5.405402483566225e-07
hallucinating,1.081080496713245e-06
succumb,1.081080496713245e-06
shocks,-1.6216207450698676e-06
chins,1.6216207450698676e-06
brainwashed,-2.16216099342649e-06
ching,5.405402483566225e-07
china,5.405402483566225e-06
wagyu,1.6216207450698676e-06
affiliated,-2.16216099342649e-06
babaganoosh,-1.081080496713245e-06
bumbleberry,5.405402483566225e-07
wiseguy,-1.081080496713245e-06
natured,-5.405402483566225e-07
reggae,1.6216207450698676e-06
kids,-1.081080496713245e-06
uplifting,-1.6216207450698676e-06
robata,2.16216099342649e-06
climbed,2.16216099342649e-06
omellette,1.6216207450698676e-06
controversy,-5.405402483566225e-07
spotty,-5.945942731922848e-06
golden,8.108103725349337e-06
cobblers,5.405402483566225e-06
projection,2.16216099342649e-06
orangish,-4.32432198685298e-06
conditions,-5.405402483566225e-07
stern,-1.6216207450698676e-06
battista,-7.027023228636093e-06
agassi,0.0
dna,2.7027012417831126e-06
dnc,0.0
catchy,-5.405402483566225e-06
abbreviations,-5.405402483566225e-07
cannibal,1.6216207450698676e-06
dnt,0.0
music,1.081080496713245e-06
therefore,-9.189184222062582e-06
violently,-8.64864397370596e-06
populations,-5.405402483566225e-07
kneader,-1.081080496713245e-06
crooner,-1.081080496713245e-06
yahoo,-1.6216207450698676e-06
felipes,-5.405402483566225e-07
buffallo,-5.405402483566225e-07
unpack,5.405402483566225e-07
exhorbitant,-1.081080496713245e-06
circumstances,-5.405402483566225e-06
intake,-1.081080496713245e-06
morally,2.7027012417831126e-06
locked,-1.1351345215489072e-05
toxins,-5.405402483566225e-07
locker,2.7027012417831126e-06
busyness,-1.6216207450698676e-06
tomahawk,1.081080496713245e-06
matilda,2.7027012417831126e-06
yummily,1.081080496713245e-06
capsaicin,3.243241490139735e-06
wang,-7.027023228636093e-06
wand,3.7837817384963576e-06
pints,3.243241490139735e-06
kaprow,1.6216207450698676e-06
papillote,0.0
dunkin,1.081080496713245e-06
diappointed,-5.405402483566225e-07
wans,0.0
callin,1.6216207450698676e-06
want,-5.405402483566225e-07
cookers,0.0
copycat,-1.081080496713245e-06
pinto,3.7837817384963576e-06
cookery,1.081080496713245e-06
absolute,-4.32432198685298e-06
mcmuffin,-6.48648298027947e-06
sugarless,-5.405402483566225e-07
travel,-3.243241490139735e-06
copious,-8.108103725349337e-06
callie,0.0
exelent,1.081080496713245e-06
barstools,1.6216207450698676e-06
topings,1.081080496713245e-06
cadence,0.0
bombbb,4.32432198685298e-06
taguara,5.405402483566225e-07
eggrolls,9.189184222062582e-06
dinosaurs,-5.405402483566225e-07
modest,4.32432198685298e-06
promotion,-3.7837817384963576e-06
colorfully,-5.405402483566225e-07
sickening,-4.32432198685298e-06
tulip,5.405402483566225e-07
18th,-5.405402483566225e-07
concoction,1.2432425712202317e-05
chandon,0.0
tantalizing,2.7027012417831126e-06
nonsensical,2.16216099342649e-06
rawhide,5.405402483566225e-07
zan,-5.405402483566225e-07
welcomed,5.945942731922848e-06
spagos,5.405402483566225e-07
whizzing,1.6216207450698676e-06
partnered,-5.405402483566225e-07
tillamook,5.405402483566225e-07
zam,1.081080496713245e-06
apoligized,5.405402483566225e-07
avondale,1.6216207450698676e-06
welcomes,-5.405402483566225e-07
fir,2.7027012417831126e-06
wickedly,5.405402483566225e-07
fit,2.7027012417831126e-06
uot,-2.16216099342649e-06
screaming,-4.864862235209603e-06
fix,-5.405402483566225e-06
fib,1.6216207450698676e-06
fig,-2.16216099342649e-06
fuddruckers,5.405402483566225e-07
fin,1.6216207450698676e-06
fil,-1.6216207450698676e-06
corridor,0.0
songwriter,-2.16216099342649e-06
sneezing,-2.7027012417831126e-06
vouchers,-5.405402483566225e-07
bixi,-5.405402483566225e-07
glutten,0.0
effects,-3.243241490139735e-06
gnoochi,-1.6216207450698676e-06
sixteen,3.7837817384963576e-06
undeveloped,-3.243241490139735e-06
saddened,-5.405402483566225e-06
caramely,-2.16216099342649e-06
bartop,0.0
shortchanged,0.0
arrow,5.405402483566225e-07
ingrid,0.0
arroz,3.243241490139735e-06
kincaids,-5.945942731922848e-06
windmill,1.6216207450698676e-06
allah,-1.081080496713245e-06
oohed,0.0
allan,-1.6216207450698676e-06
phoenicians,2.7027012417831126e-06
parasites,1.081080496713245e-06
veracruz,-1.6216207450698676e-06
3years,5.405402483566225e-07
touts,-5.405402483566225e-06
whaddya,1.6216207450698676e-06
smirk,-2.16216099342649e-06
plateware,-5.405402483566225e-07
enviroment,-2.16216099342649e-06
mason,-1.081080496713245e-06
encourage,0.0
noice,1.081080496713245e-06
adapt,2.7027012417831126e-06
dinginess,-2.16216099342649e-06
size,4.864862235209603e-06
smithfield,-1.081080496713245e-06
wonderbread,-2.7027012417831126e-06
abbott,0.0
stamping,1.6216207450698676e-06
batura,5.405402483566225e-07
strata,-3.7837817384963576e-06
pizzafarro,-3.243241490139735e-06
pumpkins,-2.16216099342649e-06
corrects,2.16216099342649e-06
pumpkiny,0.0
estimate,2.16216099342649e-06
ugghhh,-5.405402483566225e-07
universally,-3.7837817384963576e-06
chlorine,-4.864862235209603e-06
silent,7.567563476992715e-06
competes,2.7027012417831126e-06
sickeningly,-3.7837817384963576e-06
sofritas,-2.16216099342649e-06
disturbed,-5.405402483566225e-07
caminero,-2.7027012417831126e-06
competed,-1.081080496713245e-06
dentures,-5.405402483566225e-07
vermecelli,0.0
loudness,-1.081080496713245e-06
selfs,-1.081080496713245e-06
breed,5.405402483566225e-07
aurelios,-1.081080496713245e-06
palces,-1.6216207450698676e-06
emaciated,-1.081080496713245e-06
pastorcito,2.16216099342649e-06
filibertos,-5.405402483566225e-06
kfc,-5.405402483566225e-06
chevron,-1.6216207450698676e-06
seizures,-5.405402483566225e-07
households,0.0
olds,1.6216207450698676e-06
renovated,-5.405402483566225e-07
service,5.405402483566225e-07
ramyun,3.7837817384963576e-06
zinfandel,-3.243241490139735e-06
reuben,-3.243241490139735e-06
needed,-3.243241490139735e-06
grossness,-5.405402483566225e-07
critter,-1.6216207450698676e-06
mousseline,2.16216099342649e-06
genesis,5.405402483566225e-07
caitlyn,1.081080496713245e-06
rewards,5.945942731922848e-06
slingin,-1.6216207450698676e-06
swish,8.108103725349337e-06
mutilated,-2.16216099342649e-06
jbs,5.405402483566225e-07
positively,4.864862235209603e-06
smothers,0.0
duckworth,2.16216099342649e-06
anniversaries,1.6216207450698676e-06
idly,0.0
idle,-1.6216207450698676e-06
exclaimed,2.7027012417831126e-06
sheen,-6.48648298027947e-06
sooth,2.16216099342649e-06
feeling,-5.945942731922848e-06
idli,1.6216207450698676e-06
longs,3.243241490139735e-06
redesigned,2.7027012417831126e-06
sustaining,-5.405402483566225e-07
spectrum,1.081080496713245e-06
quesarito,-4.32432198685298e-06
thaw,-1.6216207450698676e-06
dozen,-3.243241490139735e-06
affairs,2.16216099342649e-06
wholesome,5.405402483566225e-07
mostly,-8.108103725349337e-06
craver,-5.405402483566225e-07
paramedics,2.7027012417831126e-06
uncouth,4.32432198685298e-06
toothed,-1.081080496713245e-06
britches,-1.6216207450698676e-06
workmates,1.6216207450698676e-06
crocs,1.081080496713245e-06
shipments,1.6216207450698676e-06
45th,-5.405402483566225e-07
committing,2.7027012417831126e-06
jammed,-7.567563476992715e-06
sugarcane,0.0
limitless,-1.6216207450698676e-06
diminishing,-4.32432198685298e-06
vexing,1.081080496713245e-06
resonates,5.405402483566225e-07
disjointed,-2.7027012417831126e-06
mouth,8.108103725349337e-06
reverence,1.6216207450698676e-06
conceded,1.081080496713245e-06
resonated,-2.16216099342649e-06
expound,5.405402483566225e-07
singer,-5.405402483566225e-07
nettle,-5.405402483566225e-07
cumbia,-1.081080496713245e-06
tech,-1.081080496713245e-06
prevention,-1.081080496713245e-06
scream,-4.864862235209603e-06
thinest,-5.405402483566225e-07
saying,-2.7027012417831126e-06
condesa,-2.7027012417831126e-06
braising,-2.7027012417831126e-06
trompo,2.16216099342649e-06
teresa,2.16216099342649e-06
empandas,5.405402483566225e-07
loitered,1.081080496713245e-06
padded,-1.6216207450698676e-06
fennel,0.0
ulcer,5.405402483566225e-07
hotnjuicy,0.0
cheaply,-2.16216099342649e-06
papavero,-2.7027012417831126e-06
hounded,1.081080496713245e-06
orleans,3.7837817384963576e-06
faure,1.081080496713245e-06
flowers,9.189184222062582e-06
clicked,-2.16216099342649e-06
skinnyfats,8.108103725349337e-06
buvette,1.081080496713245e-06
luby,-2.16216099342649e-06
aspinwall,-5.405402483566225e-07
rico,0.0
lube,2.16216099342649e-06
statehouse,1.081080496713245e-06
bliss,9.189184222062582e-06
rick,-3.243241490139735e-06
rich,7.027023228636093e-06
rice,-2.7027012417831126e-06
rica,5.945942731922848e-06
plate,8.108103725349337e-06
waaaaaay,-3.243241490139735e-06
incongruent,-2.16216099342649e-06
2min,-1.081080496713245e-06
bruddah,-2.16216099342649e-06
clumsiness,5.405402483566225e-07
caribe,2.16216099342649e-06
altogether,5.405402483566225e-07
toungue,-1.6216207450698676e-06
slidin,5.405402483566225e-06
uncleanliness,-2.7027012417831126e-06
droning,5.405402483566225e-07
jaguar,-5.405402483566225e-07
nicely,8.108103725349337e-06
boarder,1.6216207450698676e-06
capistrami,3.7837817384963576e-06
pretzel,-5.405402483566225e-06
patch,2.16216099342649e-06
gobi,4.864862235209603e-06
boarded,5.405402483566225e-07
goomba,0.0
conant,-2.7027012417831126e-06
heirloom,4.32432198685298e-06
clarified,-6.48648298027947e-06
sensitivity,-1.081080496713245e-06
pinon,1.6216207450698676e-06
pinot,-3.243241490139735e-06
pinos,-5.405402483566225e-07
pinor,5.405402483566225e-07
pinoy,1.081080496713245e-06
inns,0.0
48th,-3.7837817384963576e-06
playfulness,1.081080496713245e-06
zipparita,2.7027012417831126e-06
lots,0.0
irs,-2.16216099342649e-06
droves,1.6216207450698676e-06
targets,2.7027012417831126e-06
irk,-5.405402483566225e-07
irn,3.243241490139735e-06
ira,1.081080496713245e-06
chickfila,-2.7027012417831126e-06
cordoned,-1.081080496713245e-06
epically,-1.6216207450698676e-06
wage,-1.081080496713245e-06
extend,2.16216099342649e-06
nature,1.1891885463845695e-05
99cents,5.405402483566225e-07
fruits,2.16216099342649e-06
lapping,0.0
masuman,5.405402483566225e-07
dunhill,2.7027012417831126e-06
extent,-3.243241490139735e-06
wheelbarrow,1.6216207450698676e-06
tendons,-4.864862235209603e-06
veganism,-1.081080496713245e-06
airflow,-1.081080496713245e-06
veer,1.081080496713245e-06
heating,-3.243241490139735e-06
incense,5.405402483566225e-07
sublime,1.1351345215489072e-05
lookin,-2.7027012417831126e-06
himalayan,0.0
lumpias,-1.6216207450698676e-06
lookie,0.0
ariel,0.0
rehash,-2.16216099342649e-06
mortified,-4.32432198685298e-06
pasteles,2.16216099342649e-06
blonds,-2.16216099342649e-06
minuses,-7.567563476992715e-06
basque,5.405402483566225e-07
escalade,1.081080496713245e-06
humming,2.16216099342649e-06
chino,3.7837817384963576e-06
smackdown,5.405402483566225e-07
buttload,-5.405402483566225e-07
frc,-2.16216099342649e-06
fra,-3.7837817384963576e-06
underdone,-6.48648298027947e-06
union,-3.243241490139735e-06
fri,1.6216207450698676e-06
fro,-2.7027012417831126e-06
studious,0.0
frm,-2.7027012417831126e-06
muck,-2.7027012417831126e-06
much,-3.243241490139735e-06
sommelier,3.243241490139735e-06
steenbock,5.405402483566225e-07
fru,-5.945942731922848e-06
unleavened,0.0
fry,-1.081080496713245e-06
tallest,-5.405402483566225e-07
kojax,-7.567563476992715e-06
toning,-1.081080496713245e-06
obese,-1.6216207450698676e-06
toyko,-5.405402483566225e-07
retrospect,-8.108103725349337e-06
spit,-7.567563476992715e-06
jeon,2.16216099342649e-06
spic,3.7837817384963576e-06
dave,-5.405402483566225e-07
doubts,7.567563476992715e-06
stepdad,1.6216207450698676e-06
spin,4.32432198685298e-06
spil,-5.405402483566225e-07
wildcat,5.405402483566225e-07
