,0.0
fawn,0.0
gai,0.0
saimin,1.6666611111296295e-05
askew,-1.6666611111296295e-05
woods,0.0
clotted,-6.6666444445185185e-06
spiders,-3.3333222222592593e-06
hanging,-1.3333288889037037e-05
paiza,9.999966666777778e-06
woody,2.9999900000333332e-05
northsight,0.0
comically,0.0
gae,-3.3333222222592593e-06
sevens,-6.6666444445185185e-06
canes,1.9999933333555556e-05
chatter,-3.3333222222592593e-06
scold,3.3333222222592593e-06
originality,-6.6666444445185185e-06
refunding,6.6666444445185185e-06
caned,0.0
calpico,3.3333222222592593e-06
bruschetta,9.999966666777778e-06
stipulate,0.0
fattiness,1.3333288889037037e-05
holyrood,2.9999900000333332e-05
taj,3.3333222222592593e-06
bringing,-3.3333222222592593e-06
tcby,-3.3333222222592593e-06
revelers,-3.3333222222592593e-06
wooded,9.999966666777778e-06
spacy,-3.3333222222592593e-06
grueling,-6.6666444445185185e-06
broiler,-9.999966666777778e-06
wooden,3.333322222259259e-05
wholemeal,9.999966666777778e-06
condessa,0.0
wednesday,-2.3333255555814813e-05
broiled,5.333315555614815e-05
tak,6.6666444445185185e-06
crotch,-6.6666444445185185e-06
chimchurri,3.3333222222592593e-06
stereotypical,-6.6666444445185185e-06
caramelo,0.0
bbqs,-2.6666577778074074e-05
chimichuri,0.0
expeirence,0.0
blynk,9.999966666777778e-06
complainers,0.0
scraper,0.0
270,0.0
274,-3.3333222222592593e-06
275,0.0
277,0.0
scraped,6.6666444445185185e-06
snuggled,0.0
errors,-2.3333255555814813e-05
deferred,0.0
reeling,0.0
cyprus,-6.6666444445185185e-06
cooking,1.6666611111296295e-05
huong,-1.3333288889037037e-05
salsify,-6.6666444445185185e-06
designing,3.3333222222592593e-06
magees,-3.3333222222592593e-06
hallucinating,0.0
succumb,-3.3333222222592593e-06
shocks,-3.3333222222592593e-06
chins,0.0
brainwashed,-6.6666444445185185e-06
ching,6.6666444445185185e-06
china,-9.999966666777778e-06
wagyu,4.3333188889370365e-05
affiliated,3.3333222222592593e-06
babaganoosh,0.0
bumbleberry,0.0
wiseguy,9.999966666777778e-06
natured,-9.999966666777778e-06
reggae,1.9999933333555556e-05
kids,-3.666654444485185e-05
uplifting,3.3333222222592593e-06
robata,-9.999966666777778e-06
climbed,-9.999966666777778e-06
omellette,6.6666444445185185e-06
controversy,6.6666444445185185e-06
spotty,-5.9999800000666663e-05
golden,-9.999966666777778e-06
cobblers,-6.6666444445185185e-06
projection,3.3333222222592593e-06
orangish,-3.3333222222592593e-06
conditions,-2.6666577778074074e-05
stern,9.999966666777778e-06
battista,-3.3333222222592593e-06
agassi,0.0
dna,0.0
dnc,0.0
catchy,-9.999966666777778e-06
abbreviations,0.0
cannibal,6.6666444445185185e-06
dnt,0.0
music,0.0
therefore,1.3333288889037037e-05
violently,-1.6666611111296295e-05
populations,3.3333222222592593e-06
kneader,3.3333222222592593e-06
crooner,-3.3333222222592593e-06
yahoo,6.6666444445185185e-06
felipes,0.0
buffallo,0.0
unpack,6.6666444445185185e-06
exhorbitant,-3.3333222222592593e-06
circumstances,-1.3333288889037037e-05
intake,-3.3333222222592593e-06
morally,3.3333222222592593e-06
locked,-1.9999933333555556e-05
toxins,3.3333222222592593e-06
locker,-3.3333222222592593e-06
busyness,3.3333222222592593e-06
tomahawk,-1.3333288889037037e-05
matilda,9.999966666777778e-06
yummily,0.0
capsaicin,3.3333222222592593e-06
wang,3.3333222222592593e-06
wand,0.0
pints,3.666654444485185e-05
kaprow,3.3333222222592593e-06
papillote,3.3333222222592593e-06
dunkin,0.0
diappointed,0.0
wans,0.0
callin,6.6666444445185185e-06
want,-2.9999900000333332e-05
cookers,0.0
copycat,0.0
pinto,0.0
cookery,0.0
absolute,2.3333255555814813e-05
mcmuffin,1.3333288889037037e-05
sugarless,0.0
travel,6.6666444445185185e-06
copious,-2.3333255555814813e-05
callie,0.0
exelent,3.3333222222592593e-06
barstools,-9.999966666777778e-06
topings,-6.6666444445185185e-06
cadence,0.0
bombbb,6.6666444445185185e-06
taguara,0.0
eggrolls,-6.999976666744445e-05
dinosaurs,6.6666444445185185e-06
modest,3.333322222259259e-05
promotion,-2.9999900000333332e-05
colorfully,-3.3333222222592593e-06
sickening,-9.999966666777778e-06
tulip,6.6666444445185185e-06
18th,6.6666444445185185e-06
concoction,6.6666444445185185e-06
chandon,-3.3333222222592593e-06
tantalizing,6.6666444445185185e-06
nonsensical,-3.3333222222592593e-06
rawhide,6.6666444445185185e-06
zan,0.0
welcomed,3.333322222259259e-05
spagos,0.0
whizzing,6.6666444445185185e-06
partnered,-6.6666444445185185e-06
tillamook,0.0
zam,0.0
apoligized,0.0
avondale,-1.6666611111296295e-05
welcomes,-9.999966666777778e-06
fir,3.3333222222592593e-06
wickedly,0.0
fit,0.0
uot,0.0
screaming,-2.6666577778074074e-05
fix,9.999966666777778e-06
fib,0.0
fig,-2.3333255555814813e-05
fuddruckers,0.0
fin,-2.6666577778074074e-05
fil,-1.3333288889037037e-05
corridor,2.3333255555814813e-05
songwriter,0.0
sneezing,3.3333222222592593e-06
vouchers,-2.3333255555814813e-05
bixi,0.0
glutten,0.0
effects,-2.3333255555814813e-05
gnoochi,0.0
sixteen,9.999966666777778e-06
undeveloped,0.0
saddened,-2.9999900000333332e-05
caramely,3.3333222222592593e-06
bartop,6.6666444445185185e-06
shortchanged,0.0
arrow,-6.6666444445185185e-06
ingrid,0.0
arroz,6.6666444445185185e-06
kincaids,-3.333322222259259e-05
windmill,-6.6666444445185185e-06
allah,0.0
oohed,-9.999966666777778e-06
allan,0.0
phoenicians,1.6666611111296295e-05
parasites,0.0
veracruz,6.6666444445185185e-06
3years,6.6666444445185185e-06
touts,-1.9999933333555556e-05
whaddya,0.0
smirk,-9.999966666777778e-06
plateware,0.0
enviroment,-6.6666444445185185e-06
mason,2.6666577778074074e-05
encourage,1.3333288889037037e-05
noice,0.0
adapt,9.999966666777778e-06
dinginess,-3.3333222222592593e-06
size,3.3333222222592593e-06
smithfield,3.3333222222592593e-06
wonderbread,0.0
abbott,0.0
stamping,0.0
batura,3.3333222222592593e-06
strata,-3.3333222222592593e-06
pizzafarro,0.0
pumpkins,0.0
corrects,0.0
pumpkiny,0.0
estimate,-1.3333288889037037e-05
ugghhh,-3.3333222222592593e-06
universally,6.6666444445185185e-06
chlorine,-6.6666444445185185e-06
silent,1.6666611111296295e-05
competes,1.6666611111296295e-05
sickeningly,0.0
sofritas,-3.3333222222592593e-06
disturbed,-3.3333222222592593e-06
caminero,0.0
competed,-3.3333222222592593e-06
dentures,0.0
vermecelli,1.9999933333555556e-05
loudness,3.3333222222592593e-06
selfs,0.0
breed,3.3333222222592593e-06
aurelios,-3.3333222222592593e-06
palces,0.0
emaciated,0.0
pastorcito,0.0
filibertos,-6.6666444445185185e-06
kfc,1.9999933333555556e-05
chevron,-3.3333222222592593e-06
seizures,-3.3333222222592593e-06
households,0.0
olds,-1.9999933333555556e-05
renovated,1.3333288889037037e-05
service,-9.999966666777778e-06
ramyun,9.999966666777778e-06
zinfandel,3.666654444485185e-05
reuben,2.6666577778074074e-05
needed,1.3333288889037037e-05
grossness,0.0
critter,3.3333222222592593e-06
mousseline,3.3333222222592593e-06
genesis,0.0
caitlyn,0.0
rewards,1.3333288889037037e-05
slingin,-6.6666444445185185e-06
swish,1.9999933333555556e-05
mutilated,0.0
jbs,1.6666611111296295e-05
positively,0.0
smothers,-3.3333222222592593e-06
duckworth,1.6666611111296295e-05
anniversaries,6.6666444445185185e-06
idly,6.6666444445185185e-06
idle,0.0
exclaimed,3.3333222222592593e-06
sheen,-6.6666444445185185e-06
sooth,0.0
feeling,6.6666444445185185e-06
idli,-3.3333222222592593e-06
longs,-3.3333222222592593e-06
redesigned,3.3333222222592593e-06
sustaining,0.0
spectrum,1.6666611111296295e-05
quesarito,0.0
thaw,0.0
dozen,4.3333188889370365e-05
affairs,9.999966666777778e-06
wholesome,1.3333288889037037e-05
mostly,-2.9999900000333332e-05
craver,0.0
paramedics,9.999966666777778e-06
uncouth,3.3333222222592593e-06
toothed,0.0
britches,-6.6666444445185185e-06
workmates,0.0
crocs,3.3333222222592593e-06
shipments,3.3333222222592593e-06
45th,-3.3333222222592593e-06
committing,0.0
jammed,3.3333222222592593e-06
sugarcane,3.3333222222592593e-06
limitless,9.999966666777778e-06
diminishing,0.0
vexing,0.0
resonates,6.6666444445185185e-06
disjointed,-3.3333222222592593e-06
mouth,4.3333188889370365e-05
reverence,0.0
conceded,3.3333222222592593e-06
resonated,0.0
expound,0.0
singer,-6.6666444445185185e-06
nettle,0.0
cumbia,-3.3333222222592593e-06
tech,-6.6666444445185185e-06
prevention,3.3333222222592593e-06
scream,-9.999966666777778e-06
thinest,0.0
saying,-2.9999900000333332e-05
condesa,3.3333222222592593e-06
braising,-3.3333222222592593e-06
trompo,0.0
teresa,3.3333222222592593e-06
empandas,0.0
loitered,0.0
padded,-1.3333288889037037e-05
fennel,9.999966666777778e-06
ulcer,0.0
hotnjuicy,3.3333222222592593e-06
cheaply,-9.999966666777778e-06
papavero,-1.3333288889037037e-05
hounded,0.0
orleans,-6.6666444445185185e-06
faure,3.3333222222592593e-06
flowers,1.3333288889037037e-05
clicked,0.0
skinnyfats,2.6666577778074074e-05
buvette,3.3333222222592593e-06
luby,0.0
aspinwall,-3.3333222222592593e-06
rico,-3.3333222222592593e-06
lube,-6.6666444445185185e-06
statehouse,-3.3333222222592593e-06
bliss,9.999966666777778e-06
rick,3.3333222222592593e-06
rich,-9.999966666777778e-06
rice,9.999966666777778e-06
rica,-6.6666444445185185e-06
plate,0.0
waaaaaay,0.0
incongruent,-3.3333222222592593e-06
2min,0.0
bruddah,3.3333222222592593e-06
clumsiness,3.3333222222592593e-06
caribe,0.0
altogether,1.6666611111296295e-05
toungue,0.0
slidin,1.3333288889037037e-05
uncleanliness,-3.3333222222592593e-06
droning,0.0
jaguar,0.0
nicely,-1.9999933333555556e-05
boarder,-3.3333222222592593e-06
capistrami,3.3333222222592593e-06
pretzel,9.999966666777778e-06
patch,6.6666444445185185e-06
gobi,3.3333222222592593e-06
boarded,3.3333222222592593e-06
goomba,0.0
conant,-9.999966666777778e-06
heirloom,5.66664777784074e-05
clarified,2.3333255555814813e-05
sensitivity,0.0
pinon,0.0
pinot,9.999966666777778e-06
pinos,0.0
pinor,3.3333222222592593e-06
pinoy,0.0
inns,0.0
48th,-3.3333222222592593e-06
playfulness,0.0
zipparita,6.6666444445185185e-06
lots,0.0
irs,3.3333222222592593e-06
droves,6.6666444445185185e-06
targets,3.3333222222592593e-06
irk,0.0
irn,3.3333222222592593e-06
ira,-3.3333222222592593e-06
chickfila,-3.3333222222592593e-06
cordoned,0.0
epically,0.0
wage,9.999966666777778e-06
extend,-1.6666611111296295e-05
nature,9.999966666777778e-06
99cents,0.0
fruits,-3.666654444485185e-05
lapping,0.0
masuman,3.3333222222592593e-06
dunhill,0.0
extent,1.6666611111296295e-05
wheelbarrow,3.3333222222592593e-06
tendons,-1.6666611111296295e-05
veganism,0.0
airflow,6.6666444445185185e-06
veer,-3.3333222222592593e-06
heating,-6.6666444445185185e-06
incense,-2.3333255555814813e-05
sublime,1.9999933333555556e-05
lookin,1.3333288889037037e-05
himalayan,6.6666444445185185e-06
lumpias,3.3333222222592593e-06
lookie,0.0
ariel,0.0
rehash,-3.3333222222592593e-06
mortified,-3.3333222222592593e-06
pasteles,6.6666444445185185e-06
blonds,-3.3333222222592593e-06
minuses,-9.999966666777778e-06
basque,-3.3333222222592593e-06
escalade,0.0
humming,-9.999966666777778e-06
chino,1.6666611111296295e-05
smackdown,0.0
buttload,3.3333222222592593e-06
frc,-9.999966666777778e-06
fra,3.3333222222592593e-06
underdone,-2.6666577778074074e-05
union,2.3333255555814813e-05
fri,0.0
fro,9.999966666777778e-06
studious,6.6666444445185185e-06
frm,-3.3333222222592593e-06
muck,-1.6666611111296295e-05
much,-1.6666611111296295e-05
sommelier,6.6666444445185185e-06
steenbock,0.0
fru,9.999966666777778e-06
unleavened,0.0
fry,-1.9999933333555556e-05
tallest,0.0
kojax,0.0
toning,-3.3333222222592593e-06
obese,6.6666444445185185e-06
toyko,-9.999966666777778e-06
retrospect,0.0
spit,-9.999966666777778e-06
jeon,6.6666444445185185e-06
spic,0.0
dave,3.333322222259259e-05
doubts,1.9999933333555556e-05
stepdad,6.6666444445185185e-06
spin,-1.9999933333555556e-05
spil,-6.6666444445185185e-06
wildcat,3.3333222222592593e-06
professionally,6.6666444445185185e-06
employ,-9.999966666777778e-06
misconstrued,3.3333222222592593e-06
droppin,0.0
korroke,3.3333222222592593e-06
reunion,0.0
elaborate,3.3333222222592593e-06
majid,0.0
unos,0.0
honeslty,-6.6666444445185185e-06
saltiness,3.333322222259259e-05
ditching,-3.3333222222592593e-06
expat,0.0
healthiness,-3.3333222222592593e-06
kohl,1.3333288889037037e-05
conditioned,3.3333222222592593e-06
eighteen,-3.3333222222592593e-06
waddell,3.3333222222592593e-06
conditioner,-9.999966666777778e-06
oxymoron,0.0
insatiable,0.0
shiroi,0.0
hone,-6.6666444445185185e-06
memorial,-1.3333288889037037e-05
skinnylicious,0.0
portobella,-3.3333222222592593e-06
portobello,3.999986666711111e-05
dazzo,-9.999966666777778e-06
honk,3.3333222222592593e-06
36oz,-3.3333222222592593e-06
denies,3.3333222222592593e-06
split,0.0
principals,3.3333222222592593e-06
crabbie,-3.3333222222592593e-06
supped,6.6666444445185185e-06
spying,-3.3333222222592593e-06
boiled,-9.999966666777778e-06
flipflops,-3.3333222222592593e-06
marches,0.0
frenchmen,0.0
issan,-1.3333288889037037e-05
torpedoes,3.3333222222592593e-06
workforce,3.3333222222592593e-06
qdoba,0.0
marched,0.0
graduations,0.0
reruns,0.0
supper,-4.3333188889370365e-05
zapatas,-3.3333222222592593e-06
nuanced,-3.3333222222592593e-06
academic,0.0
potbellys,0.0
goofing,-3.3333222222592593e-06
academie,-3.666654444485185e-05
waitering,0.0
corporate,-2.6666577778074074e-05
massaging,6.6666444445185185e-06
plaque,-3.3333222222592593e-06
bellow,0.0
appropriately,6.6666444445185185e-06
hushpuppies,0.0
snickered,3.3333222222592593e-06
albondiga,-3.3333222222592593e-06
lassi,1.3333288889037037e-05
portrayed,-3.3333222222592593e-06
hah,-3.3333222222592593e-06
hai,9.999966666777778e-06
upsides,-3.3333222222592593e-06
hal,0.0
ham,-3.3333222222592593e-06
han,-6.6666444445185185e-06
hao,3.3333222222592593e-06
haa,0.0
hae,-3.3333222222592593e-06
hag,-3.3333222222592593e-06
reservationist,0.0
hay,-3.3333222222592593e-06
haz,0.0
waffels,0.0
beloved,-3.3333222222592593e-06
hap,-6.6666444445185185e-06
har,-1.9999933333555556e-05
match,-3.3333222222592593e-06
hat,1.3333288889037037e-05
hav,6.6666444445185185e-06
haw,-9.999966666777778e-06
municipal,0.0
elders,1.3333288889037037e-05
survival,3.3333222222592593e-06
siesta,0.0
caramelly,0.0
unequivocally,-3.3333222222592593e-06
objective,1.3333288889037037e-05
otherworldly,6.6666444445185185e-06
indicative,-9.999966666777778e-06
clustered,3.3333222222592593e-06
shadow,3.3333222222592593e-06
bluberry,6.6666444445185185e-06
gado,0.0
delievery,0.0
kazmierz,0.0
alice,-1.9999933333555556e-05
gangplank,3.3333222222592593e-06
lipitor,0.0
festivities,0.0
unabashedly,9.999966666777778e-06
attorney,-6.6666444445185185e-06
crowd,-6.6666444445185185e-06
czech,6.6666444445185185e-06
crown,6.6666444445185185e-06
topping,1.3333288889037037e-05
proportionally,3.3333222222592593e-06
captive,-9.999966666777778e-06
karmeliet,0.0
vovo,0.0
bottom,-4.6666511111629626e-05
lockdown,-3.3333222222592593e-06
plucked,-3.3333222222592593e-06
yummie,3.3333222222592593e-06
caribbean,-3.3333222222592593e-06
treadmill,3.3333222222592593e-06
completly,-3.3333222222592593e-06
8yr,0.0
dng,0.0
yelpie,0.0
herrin,0.0
starring,-3.3333222222592593e-06
visitng,3.3333222222592593e-06
benches,-6.6666444445185185e-06
mariokart,0.0
stoked,-4.3333188889370365e-05
canaletto,1.6666611111296295e-05
lemmings,-3.3333222222592593e-06
maxwell,6.6666444445185185e-06
marshall,-2.3333255555814813e-05
honeymoon,0.0
mba,0.0
mbb,0.0
bulgar,1.3333288889037037e-05
beings,-9.999966666777778e-06
mangos,1.6666611111296295e-05
gardening,0.0
shoots,6.6666444445185185e-06
despised,3.3333222222592593e-06
appealingly,0.0
panninis,0.0
lunar,-6.6666444445185185e-06
suffice,-1.3333288889037037e-05
raped,6.6666444445185185e-06
filafel,0.0
humorous,3.3333222222592593e-06
grasping,0.0
despises,0.0
greatness,1.6666611111296295e-05
tams,0.0
