the,6026700
and,3879229
i,3350759
a,2924497
to,2452968
was,2182167
it,1887283
of,1712123
is,1431136
for,1335791
in,1204293
we,1079616
that,1000627
but,986817
with,965406
my,926683
this,918206
you,886709
they,808034
food,797593
on,788286
t,769901
had,734358
s,710946
not,700520
good,693125
have,672781
were,664030
so,617173
place,608583
at,552094
are,533801
great,485921
as,483152
be,477530
there,442611
very,439099
our,409951
here,409506
like,405455
all,403773
service,399691
just,389985
if,384579
out,378045
one,341221
their,325053
me,322478
time,320064
get,317073
can,301642
go,300150
back,298361
or,296703
really,295834
from,295381
when,287165
would,284194
which,276836
up,263787
about,262972
some,251815
what,242443
will,240045
an,238699
ordered,236848
been,232870
restaurant,229985
also,224558
more,223309
us,221103
only,217166
chicken,215905
ve,215335
order,210589
too,210513
no,209844
your,209426
best,204727
got,199999
menu,198915
by,197251
nice,192677
because,192487
well,191591
don,189104
try,187851
other,185030
m,183915
he,181946
love,180985
even,180857
delicious,178029
little,177492
came,174642
she,164671
after,164004
always,163582
pizza,161109
them,157992
has,157754
than,156180
pretty,154763
much,150496
didn,150231
first,150089
eat,149919
cheese,145514
sauce,143879
went,142517
definitely,142366
bar,140953
come,140730
do,140054
friendly,138982
better,138654
over,137838
could,135715
lunch,135249
fresh,133754
salad,133465
never,132563
again,132158
amazing,130278
staff,130236
did,129068
meal,128653
people,128371
made,127765
wait,127517
table,126011
2,125616
5,122049
night,121875
make,121418
dinner,121202
then,120580
off,120025
two,119332
vegas,117808
think,116287
know,115818
way,115401
burger,111900
how,111628
right,111619
experience,111201
re,110158
say,109505
everything,108835
ever,107797
going,107477
3,106066
fries,105294
before,103263
want,103215
still,102353
down,101497
bit,101217
bad,100140
sure,99127
said,99070
who,98901
while,98351
side,97706
any,97446
am,96534
few,96054
wasn,96030
sushi,95777
server,95293
take,94390
since,94197
give,93654
times,93567
next,92905
around,92756
minutes,92586
though,91800
ll,91029
meat,90994
small,90270
hot,90237
both,90049
drinks,89819
something,89736
tried,89722
now,89328
price,88935
new,88635
most,88128
sandwich,87920
