,0.0
fawn,3.589741748850385e-06
gai,-2.051280999343077e-06
saimin,5.128202498357693e-07
askew,-1.0256404996715385e-06
woods,-2.5641012491788467e-06
clotted,-5.128202498357693e-07
spiders,1.0256404996715385e-06
hanging,-3.589741748850385e-06
paiza,0.0
woody,3.076921499014616e-06
northsight,1.538460749507308e-06
comically,0.0
gae,0.0
sevens,1.538460749507308e-06
canes,2.5641012491788467e-06
chatter,4.102561998686154e-06
scold,-5.128202498357693e-07
originality,-3.076921499014616e-06
refunding,2.051280999343077e-06
caned,-1.538460749507308e-06
calpico,1.538460749507308e-06
bruschetta,-1.0256404996715385e-06
stipulate,-1.538460749507308e-06
fattiness,3.589741748850385e-06
holyrood,3.589741748850385e-06
taj,-4.615382248521924e-06
bringing,4.102561998686154e-06
tcby,-5.128202498357693e-07
revelers,-2.051280999343077e-06
wooded,1.0256404996715385e-06
spacy,-5.128202498357693e-07
grueling,-6.666663247865001e-06
broiler,1.538460749507308e-06
wooden,5.128202498357693e-07
wholemeal,5.128202498357693e-07
condessa,5.128202498357693e-07
wednesday,0.0
broiled,2.051280999343077e-06
tak,1.0256404996715385e-06
crotch,1.538460749507308e-06
chimchurri,2.051280999343077e-06
stereotypical,-6.666663247865001e-06
caramelo,-5.128202498357693e-07
bbqs,-3.589741748850385e-06
chimichuri,1.0256404996715385e-06
expeirence,-1.0256404996715385e-06
blynk,1.0256404996715385e-06
complainers,4.615382248521924e-06
scraper,-3.589741748850385e-06
270,5.128202498357693e-07
274,-5.128202498357693e-07
275,3.589741748850385e-06
277,1.538460749507308e-06
scraped,-7.17948349770077e-06
snuggled,1.538460749507308e-06
errors,-6.153842998029232e-06
deferred,0.0
reeling,-3.589741748850385e-06
cyprus,2.051280999343077e-06
cooking,-1.538460749507308e-06
huong,-1.0256404996715385e-06
salsify,5.128202498357693e-07
designing,-4.102561998686154e-06
magees,0.0
hallucinating,1.538460749507308e-06
succumb,1.0256404996715385e-06
shocks,-5.128202498357693e-07
chins,2.051280999343077e-06
brainwashed,-1.538460749507308e-06
ching,-5.128202498357693e-07
china,6.153842998029232e-06
wagyu,4.615382248521924e-06
affiliated,-1.538460749507308e-06
babaganoosh,-1.538460749507308e-06
bumbleberry,-5.128202498357693e-07
wiseguy,-1.0256404996715385e-06
natured,-1.0256404996715385e-06
reggae,-1.538460749507308e-06
kids,-8.205123997372308e-06
uplifting,-2.051280999343077e-06
robata,-4.615382248521924e-06
climbed,1.538460749507308e-06
omellette,2.051280999343077e-06
controversy,-5.128202498357693e-07
spotty,-6.666663247865001e-06
golden,5.641022748193462e-06
cobblers,6.153842998029232e-06
projection,2.5641012491788467e-06
orangish,-3.589741748850385e-06
conditions,-4.102561998686154e-06
