,0.0
fawn,0.0
gai,-1.5384603550304962e-06
saimin,3.0769207100609924e-06
askew,-3.846150887576241e-06
woods,0.0
clotted,7.692301775152481e-07
spiders,0.0
hanging,8.461531952667729e-06
paiza,2.307690532545744e-06
woody,4.615381065091488e-06
northsight,2.307690532545744e-06
comically,2.307690532545744e-06
gae,0.0
sevens,0.0
canes,-7.692301775152481e-07
chatter,-1.5384603550304962e-06
scold,2.307690532545744e-06
originality,-3.846150887576241e-06
refunding,7.692301775152481e-07
caned,0.0
calpico,7.692301775152481e-07
bruschetta,3.846150887576241e-06
stipulate,-7.692301775152481e-07
fattiness,2.307690532545744e-06
holyrood,7.692301775152481e-06
taj,4.615381065091488e-06
bringing,3.846150887576241e-06
tcby,7.692301775152481e-07
revelers,-7.692301775152481e-07
wooded,4.615381065091488e-06
spacy,1.5384603550304962e-06
grueling,-1.0769222485213473e-05
broiler,1.153845266272872e-05
wooden,6.153841420121985e-06
wholemeal,1.5384603550304962e-06
condessa,0.0
wednesday,2.307690532545744e-06
broiled,-3.846150887576241e-06
tak,2.307690532545744e-06
crotch,0.0
chimchurri,7.692301775152481e-07
stereotypical,-3.846150887576241e-06
caramelo,-1.5384603550304962e-06
bbqs,-6.923071597637232e-06
chimichuri,0.0
expeirence,1.5384603550304962e-06
blynk,0.0
complainers,6.153841420121985e-06
scraper,-3.0769207100609924e-06
270,-1.5384603550304962e-06
274,0.0
275,4.615381065091488e-06
277,0.0
scraped,-1.153845266272872e-05
snuggled,-7.692301775152481e-07
errors,-7.692301775152481e-06
deferred,1.5384603550304962e-06
reeling,-2.307690532545744e-06
cyprus,6.923071597637232e-06
cooking,3.0769207100609924e-06
huong,-2.307690532545744e-06
salsify,-7.692301775152481e-07
designing,-6.153841420121985e-06
magees,-7.692301775152481e-07
hallucinating,0.0
succumb,-2.307690532545744e-06
shocks,-7.692301775152481e-07
chins,0.0
brainwashed,-3.0769207100609924e-06
ching,0.0
china,5.3846112426067365e-06
wagyu,7.692301775152481e-06
affiliated,-1.5384603550304962e-06
babaganoosh,0.0
bumbleberry,0.0
wiseguy,-5.3846112426067365e-06
natured,-2.307690532545744e-06
reggae,9.230762130182976e-06
kids,1.5384603550304962e-06
uplifting,-2.307690532545744e-06
robata,7.692301775152481e-07
climbed,3.846150887576241e-06
omellette,2.307690532545744e-06
controversy,7.692301775152481e-07
spotty,-7.692301775152481e-06
golden,1.4615373372789714e-05
cobblers,6.153841420121985e-06
projection,7.692301775152481e-07
orangish,-6.923071597637232e-06
conditions,-6.923071597637232e-06
stern,-7.692301775152481e-07
battista,-8.461531952667729e-06
agassi,0.0
dna,3.0769207100609924e-06
dnc,0.0
catchy,-8.461531952667729e-06
abbreviations,-7.692301775152481e-07
cannibal,3.0769207100609924e-06
dnt,7.692301775152481e-07
music,-4.615381065091488e-06
therefore,-6.153841420121985e-06
violently,-6.923071597637232e-06
populations,1.5384603550304962e-06
kneader,-1.5384603550304962e-06
crooner,0.0
yahoo,-1.5384603550304962e-06
felipes,-7.692301775152481e-07
buffallo,-7.692301775152481e-07
unpack,7.692301775152481e-07
exhorbitant,-2.307690532545744e-06
circumstances,-5.3846112426067365e-06
intake,-7.692301775152481e-07
morally,3.846150887576241e-06
locked,-9.230762130182976e-06
toxins,0.0
locker,2.307690532545744e-06
busyness,-2.307690532545744e-06
tomahawk,-2.307690532545744e-06
matilda,3.0769207100609924e-06
yummily,7.692301775152481e-07
capsaicin,3.0769207100609924e-06
wang,-5.3846112426067365e-06
wand,3.846150887576241e-06
pints,1.0769222485213473e-05
kaprow,2.307690532545744e-06
papillote,0.0
dunkin,2.307690532545744e-06
diappointed,0.0
wans,-7.692301775152481e-07
callin,1.5384603550304962e-06
want,-7.692301775152481e-07
cookers,7.692301775152481e-07
copycat,0.0
pinto,1.4615373372789714e-05
cookery,7.692301775152481e-07
absolute,-6.153841420121985e-06
mcmuffin,-8.461531952667729e-06
sugarless,-7.692301775152481e-07
travel,0.0
copious,-3.846150887576241e-06
callie,0.0
exelent,1.5384603550304962e-06
barstools,-3.846150887576241e-06
topings,7.692301775152481e-07
cadence,0.0
bombbb,3.846150887576241e-06
taguara,7.692301775152481e-07
eggrolls,-1.999998461539645e-05
dinosaurs,1.5384603550304962e-06
modest,7.692301775152481e-07
promotion,-3.846150887576241e-06
colorfully,7.692301775152481e-07
sickening,-3.846150887576241e-06
tulip,7.692301775152481e-07
18th,0.0
concoction,2.307690532545744e-06
chandon,-7.692301775152481e-07
tantalizing,7.692301775152481e-07
nonsensical,3.0769207100609924e-06
rawhide,1.5384603550304962e-06
zan,0.0
welcomed,9.999992307698225e-06
spagos,-7.692301775152481e-07
whizzing,1.5384603550304962e-06
partnered,-2.307690532545744e-06
tillamook,-1.5384603550304962e-06
zam,0.0
apoligized,7.692301775152481e-07
avondale,3.0769207100609924e-06
welcomes,0.0
fir,-7.692301775152481e-07
wickedly,2.307690532545744e-06
fit,-1.5384603550304962e-06
uot,-2.307690532545744e-06
screaming,-7.692301775152481e-07
fix,-6.923071597637232e-06
fib,2.307690532545744e-06
fig,-9.230762130182976e-06
fuddruckers,-2.307690532545744e-06
fin,7.692301775152481e-07
fil,1.230768284024397e-05
corridor,-5.3846112426067365e-06
songwriter,-1.5384603550304962e-06
sneezing,-2.307690532545744e-06
vouchers,-4.615381065091488e-06
bixi,-7.692301775152481e-07
glutten,0.0
effects,-3.0769207100609924e-06
gnoochi,-2.307690532545744e-06
sixteen,1.5384603550304962e-06
undeveloped,-7.692301775152481e-07
saddened,-9.230762130182976e-06
caramely,-1.5384603550304962e-06
bartop,-7.692301775152481e-07
shortchanged,2.307690532545744e-06
arrow,1.5384603550304962e-06
ingrid,-1.5384603550304962e-06
arroz,-3.0769207100609924e-06
kincaids,-8.461531952667729e-06
windmill,3.846150887576241e-06
allah,-2.307690532545744e-06
oohed,-2.307690532545744e-06
allan,-7.692301775152481e-07
phoenicians,6.923071597637232e-06
parasites,0.0
veracruz,-2.307690532545744e-06
3years,7.692301775152481e-07
touts,-7.692301775152481e-06
whaddya,2.307690532545744e-06
smirk,-5.3846112426067365e-06
plateware,-1.5384603550304962e-06
enviroment,-4.615381065091488e-06
mason,-3.0769207100609924e-06
encourage,2.307690532545744e-06
noice,1.5384603550304962e-06
adapt,4.615381065091488e-06
dinginess,-1.5384603550304962e-06
size,-4.615381065091488e-06
smithfield,-7.692301775152481e-07
wonderbread,-1.5384603550304962e-06
abbott,0.0
stamping,7.692301775152481e-07
batura,7.692301775152481e-07
strata,-5.3846112426067365e-06
pizzafarro,-3.0769207100609924e-06
pumpkins,-1.5384603550304962e-06
corrects,2.307690532545744e-06
pumpkiny,7.692301775152481e-07
estimate,3.846150887576241e-06
ugghhh,-1.5384603550304962e-06
universally,-2.307690532545744e-06
chlorine,-1.5384603550304962e-06
silent,3.0769207100609924e-06
competes,3.846150887576241e-06
sickeningly,-3.846150887576241e-06
sofritas,-2.307690532545744e-06
disturbed,1.5384603550304962e-06
caminero,0.0
competed,-3.846150887576241e-06
dentures,-7.692301775152481e-07
vermecelli,3.846150887576241e-06
loudness,-2.307690532545744e-06
selfs,-3.0769207100609924e-06
breed,1.5384603550304962e-06
aurelios,-1.5384603550304962e-06
palces,0.0
emaciated,0.0
pastorcito,1.5384603550304962e-06
filibertos,-6.153841420121985e-06
kfc,-6.923071597637232e-06
chevron,0.0
seizures,-7.692301775152481e-07
households,2.307690532545744e-06
olds,3.846150887576241e-06
renovated,2.307690532545744e-06
service,-3.0769207100609924e-06
ramyun,5.3846112426067365e-06
zinfandel,3.0769207100609924e-06
reuben,4.615381065091488e-06
needed,5.3846112426067365e-06
grossness,0.0
critter,-2.307690532545744e-06
mousseline,2.307690532545744e-06
genesis,-7.692301775152481e-07
caitlyn,0.0
rewards,8.461531952667729e-06
slingin,-1.5384603550304962e-06
swish,0.0
mutilated,-2.307690532545744e-06
jbs,1.5384603550304962e-06
positively,6.923071597637232e-06
smothers,0.0
duckworth,8.461531952667729e-06
anniversaries,1.5384603550304962e-06
idly,0.0
idle,0.0
exclaimed,3.846150887576241e-06
sheen,-7.692301775152481e-06
sooth,7.692301775152481e-07
feeling,-1.5384603550304962e-06
idli,1.5384603550304962e-06
longs,3.846150887576241e-06
redesigned,2.307690532545744e-06
sustaining,2.307690532545744e-06
spectrum,8.461531952667729e-06
quesarito,-7.692301775152481e-06
thaw,-7.692301775152481e-07
dozen,5.3846112426067365e-06
affairs,3.0769207100609924e-06
wholesome,2.307690532545744e-06
mostly,-1.0769222485213473e-05
craver,-7.692301775152481e-07
paramedics,3.0769207100609924e-06
uncouth,6.153841420121985e-06
toothed,-7.692301775152481e-07
britches,-1.5384603550304962e-06
workmates,1.5384603550304962e-06
crocs,1.5384603550304962e-06
shipments,1.5384603550304962e-06
45th,-7.692301775152481e-07
committing,3.0769207100609924e-06
jammed,0.0
sugarcane,2.307690532545744e-06
limitless,1.5384603550304962e-06
diminishing,-3.0769207100609924e-06
vexing,1.5384603550304962e-06
resonates,1.5384603550304962e-06
disjointed,-6.153841420121985e-06
mouth,3.0769207100609924e-06
reverence,1.5384603550304962e-06
conceded,7.692301775152481e-07
resonated,-7.692301775152481e-07
expound,7.692301775152481e-07
singer,-2.307690532545744e-06
nettle,0.0
cumbia,-1.5384603550304962e-06
tech,-7.692301775152481e-07
prevention,-1.5384603550304962e-06
scream,-1.3076913017759217e-05
thinest,-7.692301775152481e-07
saying,-1.230768284024397e-05
condesa,-3.0769207100609924e-06
braising,-3.0769207100609924e-06
trompo,3.0769207100609924e-06
teresa,1.5384603550304962e-06
empandas,1.5384603550304962e-06
loitered,1.5384603550304962e-06
padded,-4.615381065091488e-06
fennel,-4.615381065091488e-06
ulcer,-1.5384603550304962e-06
hotnjuicy,0.0
cheaply,0.0
papavero,-1.5384603550304962e-06
hounded,7.692301775152481e-07
orleans,-3.0769207100609924e-06
faure,1.5384603550304962e-06
flowers,1.153845266272872e-05
clicked,-3.846150887576241e-06
skinnyfats,6.923071597637232e-06
buvette,1.5384603550304962e-06
luby,-2.307690532545744e-06
aspinwall,-7.692301775152481e-07
rico,0.0
lube,-7.692301775152481e-07
statehouse,0.0
bliss,1.7692294082850705e-05
rick,-2.307690532545744e-06
rich,7.692301775152481e-06
rice,2.307690532545744e-06
rica,6.153841420121985e-06
plate,-2.307690532545744e-06
waaaaaay,-4.615381065091488e-06
incongruent,-1.5384603550304962e-06
2min,0.0
bruddah,-1.5384603550304962e-06
clumsiness,7.692301775152481e-07
caribe,3.0769207100609924e-06
altogether,2.307690532545744e-06
toungue,-1.5384603550304962e-06
slidin,6.153841420121985e-06
uncleanliness,-3.0769207100609924e-06
droning,7.692301775152481e-07
jaguar,0.0
nicely,3.0769207100609924e-06
boarder,2.307690532545744e-06
capistrami,4.615381065091488e-06
pretzel,7.692301775152481e-07
patch,-1.5384603550304962e-06
gobi,3.0769207100609924e-06
boarded,0.0
goomba,-7.692301775152481e-07
conant,-5.3846112426067365e-06
heirloom,-7.692301775152481e-07
clarified,-3.0769207100609924e-06
sensitivity,-3.0769207100609924e-06
pinon,1.5384603550304962e-06
pinot,1.5384603550304962e-06
pinos,-1.5384603550304962e-06
pinor,7.692301775152481e-07
pinoy,1.5384603550304962e-06
inns,7.692301775152481e-07
48th,0.0
playfulness,7.692301775152481e-07
zipparita,2.307690532545744e-06
lots,3.846150887576241e-06
irs,-1.5384603550304962e-06
droves,2.307690532545744e-06
targets,2.307690532545744e-06
irk,-7.692301775152481e-07
irn,3.846150887576241e-06
ira,0.0
chickfila,-3.0769207100609924e-06
cordoned,-7.692301775152481e-07
epically,-4.615381065091488e-06
wage,-1.5384603550304962e-06
extend,5.3846112426067365e-06
nature,1.0769222485213473e-05
99cents,7.692301775152481e-07
fruits,-9.999992307698225e-06
lapping,7.692301775152481e-07
masuman,7.692301775152481e-07
dunhill,2.307690532545744e-06
extent,-7.692301775152481e-07
wheelbarrow,2.307690532545744e-06
tendons,-6.153841420121985e-06
veganism,-7.692301775152481e-07
airflow,7.692301775152481e-07
veer,2.307690532545744e-06
heating,1.5384603550304962e-06
incense,-3.0769207100609924e-06
sublime,6.153841420121985e-06
lookin,0.0
himalayan,0.0
lumpias,-2.307690532545744e-06
lookie,0.0
ariel,1.5384603550304962e-06
rehash,-3.0769207100609924e-06
mortified,-3.846150887576241e-06
pasteles,-7.692301775152481e-07
blonds,-2.307690532545744e-06
minuses,-1.0769222485213473e-05
basque,1.5384603550304962e-06
escalade,0.0
humming,1.5384603550304962e-06
chino,7.692301775152481e-07
smackdown,7.692301775152481e-07
buttload,-1.5384603550304962e-06
frc,-3.846150887576241e-06
fra,7.692301775152481e-07
underdone,7.692301775152481e-07
union,-2.307690532545744e-06
fri,7.692301775152481e-07
fro,-3.846150887576241e-06
studious,0.0
frm,-5.3846112426067365e-06
muck,-4.615381065091488e-06
much,-3.0769207100609924e-06
sommelier,0.0
steenbock,-1.5384603550304962e-06
fru,-1.153845266272872e-05
unleavened,0.0
fry,-6.153841420121985e-06
tallest,-2.307690532545744e-06
kojax,-7.692301775152481e-06
toning,-1.5384603550304962e-06
obese,-5.3846112426067365e-06
toyko,-1.5384603550304962e-06
retrospect,-7.692301775152481e-06
spit,-1.7692294082850705e-05
jeon,3.846150887576241e-06
spic,1.5384603550304962e-06
dave,-4.615381065091488e-06
doubts,5.3846112426067365e-06
stepdad,4.615381065091488e-06
spin,7.692301775152481e-06
spil,-3.0769207100609924e-06
wildcat,7.692301775152481e-07
professionally,8.461531952667729e-06
employ,-9.230762130182976e-06
misconstrued,1.5384603550304962e-06
droppin,1.5384603550304962e-06
korroke,-7.692301775152481e-07
reunion,-8.461531952667729e-06
elaborate,8.461531952667729e-06
majid,0.0
unos,3.0769207100609924e-06
honeslty,-3.846150887576241e-06
saltiness,-7.692301775152481e-06
ditching,7.692301775152481e-07
expat,-3.0769207100609924e-06
healthiness,-2.307690532545744e-06
kohl,5.3846112426067365e-06
conditioned,7.692301775152481e-06
eighteen,-5.3846112426067365e-06
waddell,0.0
conditioner,4.615381065091488e-06
oxymoron,-1.5384603550304962e-06
insatiable,0.0
shiroi,7.692301775152481e-07
hone,4.615381065091488e-06
memorial,-7.692301775152481e-06
skinnylicious,3.0769207100609924e-06
portobella,-1.5384603550304962e-06
portobello,3.0769207100609924e-06
dazzo,-1.5384603550304962e-06
honk,1.5384603550304962e-06
36oz,-7.692301775152481e-07
denies,-7.692301775152481e-07
split,5.3846112426067365e-06
principals,2.307690532545744e-06
crabbie,1.5384603550304962e-06
supped,7.692301775152481e-07
spying,-2.307690532545744e-06
boiled,1.5384603550304962e-06
flipflops,0.0
marches,7.692301775152481e-07
frenchmen,-7.692301775152481e-07
issan,7.692301775152481e-07
torpedoes,1.5384603550304962e-06
workforce,0.0
qdoba,4.615381065091488e-06
marched,-2.307690532545744e-06
graduations,0.0
reruns,3.0769207100609924e-06
supper,-7.692301775152481e-07
zapatas,-1.5384603550304962e-06
nuanced,7.692301775152481e-07
academic,2.307690532545744e-06
potbellys,0.0
goofing,-1.5384603550304962e-06
academie,-8.461531952667729e-06
waitering,-1.5384603550304962e-06
corporate,-5.3846112426067365e-06
massaging,7.692301775152481e-07
plaque,-1.5384603550304962e-06
bellow,0.0
appropriately,-1.5384603550304962e-06
hushpuppies,7.692301775152481e-07
snickered,7.692301775152481e-07
albondiga,-7.692301775152481e-07
lassi,-6.153841420121985e-06
portrayed,-1.5384603550304962e-06
hah,5.3846112426067365e-06
hai,-7.692301775152481e-07
upsides,2.307690532545744e-06
hal,3.0769207100609924e-06
ham,2.307690532545744e-06
han,2.307690532545744e-06
hao,7.692301775152481e-07
haa,7.692301775152481e-07
hae,-3.846150887576241e-06
hag,-1.5384603550304962e-06
reservationist,-1.5384603550304962e-06
hay,-1.615383372782021e-05
haz,0.0
waffels,-7.692301775152481e-07
beloved,0.0
hap,0.0
har,8.461531952667729e-06
match,-2.307690532545744e-06
hat,1.5384603550304962e-06
hav,1.5384603550304962e-06
haw,-6.923071597637232e-06
municipal,-7.692301775152481e-07
elders,3.0769207100609924e-06
survival,2.307690532545744e-06
siesta,-3.0769207100609924e-06
caramelly,-1.5384603550304962e-06
unequivocally,7.692301775152481e-07
objective,-1.5384603550304962e-06
otherworldly,2.307690532545744e-06
indicative,-5.3846112426067365e-06
clustered,0.0
shadow,2.307690532545744e-06
bluberry,3.0769207100609924e-06
gado,-3.846150887576241e-06
delievery,3.846150887576241e-06
kazmierz,0.0
alice,-3.0769207100609924e-06
gangplank,-7.692301775152481e-07
lipitor,3.846150887576241e-06
festivities,1.5384603550304962e-06
unabashedly,3.846150887576241e-06
attorney,-4.615381065091488e-06
crowd,-9.999992307698225e-06
