,0.0
fawn,0.0
gai,-1.1428538775603499e-05
saimin,2.2857077551206998e-05
askew,-1.4285673469504373e-05
woods,-5.714269387801749e-06
clotted,-5.714269387801749e-06
spiders,-2.8571346939008747e-06
hanging,-2.571421224510787e-05
paiza,8.571404081702625e-06
woody,1.4285673469504373e-05
northsight,0.0
comically,0.0
gae,-2.8571346939008747e-06
sevens,-5.714269387801749e-06
canes,0.0
chatter,0.0
scold,2.8571346939008747e-06
originality,-5.714269387801749e-06
refunding,5.714269387801749e-06
caned,0.0
calpico,2.8571346939008747e-06
bruschetta,-1.714280816340525e-05
stipulate,0.0
fattiness,2.8571346939008747e-06
holyrood,3.142848163290962e-05
taj,2.8571346939008747e-06
bringing,8.571404081702625e-06
tcby,2.8571346939008747e-06
revelers,-2.8571346939008747e-06
wooded,8.571404081702625e-06
spacy,-2.8571346939008747e-06
grueling,-5.714269387801749e-06
broiler,-1.4285673469504373e-05
wooden,1.999994285730612e-05
wholemeal,8.571404081702625e-06
condessa,0.0
wednesday,-1.1428538775603499e-05
broiled,3.142848163290962e-05
tak,5.714269387801749e-06
crotch,-1.1428538775603499e-05
chimchurri,2.8571346939008747e-06
stereotypical,-2.8571346939008747e-06
caramelo,0.0
bbqs,-2.2857077551206998e-05
chimichuri,0.0
expeirence,0.0
blynk,8.571404081702625e-06
complainers,0.0
scraper,-5.714269387801749e-06
270,0.0
274,-2.8571346939008747e-06
275,0.0
277,0.0
scraped,0.0
snuggled,0.0
errors,-2.571421224510787e-05
deferred,0.0
reeling,0.0
cyprus,-5.714269387801749e-06
cooking,2.571421224510787e-05
huong,-8.571404081702625e-06
salsify,-5.714269387801749e-06
designing,2.8571346939008747e-06
magees,-2.8571346939008747e-06
hallucinating,2.8571346939008747e-06
succumb,-2.8571346939008747e-06
shocks,-5.714269387801749e-06
chins,0.0
brainwashed,-5.714269387801749e-06
ching,5.714269387801749e-06
china,-8.571404081702625e-06
wagyu,2.2857077551206998e-05
affiliated,-2.8571346939008747e-06
babaganoosh,0.0
bumbleberry,0.0
wiseguy,8.571404081702625e-06
natured,-8.571404081702625e-06
reggae,1.999994285730612e-05
kids,-1.1428538775603499e-05
uplifting,2.8571346939008747e-06
robata,-8.571404081702625e-06
climbed,-8.571404081702625e-06
omellette,5.714269387801749e-06
controversy,8.571404081702625e-06
spotty,-4.857128979631487e-05
golden,-2.8571346939008747e-06
cobblers,-5.714269387801749e-06
projection,2.8571346939008747e-06
orangish,-2.8571346939008747e-06
conditions,-2.8571346939008746e-05
stern,8.571404081702625e-06
battista,-2.8571346939008747e-06
agassi,0.0
dna,0.0
dnc,0.0
catchy,-8.571404081702625e-06
abbreviations,0.0
cannibal,5.714269387801749e-06
dnt,0.0
music,-2.571421224510787e-05
therefore,2.571421224510787e-05
violently,-1.714280816340525e-05
populations,2.8571346939008747e-06
kneader,2.8571346939008747e-06
crooner,0.0
yahoo,5.714269387801749e-06
felipes,0.0
buffallo,0.0
unpack,8.571404081702625e-06
exhorbitant,-2.8571346939008747e-06
circumstances,-5.714269387801749e-06
intake,2.8571346939008747e-06
morally,2.8571346939008747e-06
locked,-1.999994285730612e-05
toxins,2.8571346939008747e-06
locker,2.8571346939008747e-06
busyness,2.8571346939008747e-06
tomahawk,-1.1428538775603499e-05
matilda,8.571404081702625e-06
yummily,0.0
capsaicin,2.8571346939008747e-06
wang,2.8571346939008747e-06
wand,0.0
pints,2.571421224510787e-05
kaprow,2.8571346939008747e-06
papillote,2.8571346939008747e-06
dunkin,-5.714269387801749e-06
diappointed,0.0
wans,0.0
callin,5.714269387801749e-06
want,0.0
cookers,0.0
copycat,0.0
pinto,1.1428538775603499e-05
cookery,0.0
absolute,3.714275102071137e-05
mcmuffin,1.714280816340525e-05
sugarless,0.0
travel,8.571404081702625e-06
copious,-1.999994285730612e-05
callie,0.0
exelent,2.8571346939008747e-06
barstools,-1.1428538775603499e-05
topings,0.0
cadence,0.0
bombbb,5.714269387801749e-06
taguara,0.0
eggrolls,-6.285696326581924e-05
dinosaurs,5.714269387801749e-06
modest,1.4285673469504373e-05
promotion,-2.571421224510787e-05
colorfully,-2.8571346939008747e-06
sickening,-1.1428538775603499e-05
tulip,5.714269387801749e-06
18th,1.4285673469504373e-05
concoction,-2.8571346939008747e-06
chandon,-2.8571346939008747e-06
tantalizing,5.714269387801749e-06
nonsensical,-5.714269387801749e-06
rawhide,5.714269387801749e-06
zan,0.0
welcomed,3.142848163290962e-05
spagos,0.0
whizzing,2.8571346939008747e-06
partnered,-5.714269387801749e-06
tillamook,0.0
zam,0.0
apoligized,5.714269387801749e-06
avondale,-1.4285673469504373e-05
welcomes,-5.714269387801749e-06
fir,2.8571346939008747e-06
wickedly,0.0
fit,5.714269387801749e-06
uot,0.0
screaming,-2.2857077551206998e-05
fix,-5.9999828571918365e-05
fib,5.714269387801749e-06
fig,-2.571421224510787e-05
fuddruckers,2.8571346939008747e-06
fin,-1.999994285730612e-05
fil,-1.999994285730612e-05
corridor,1.1428538775603499e-05
songwriter,0.0
sneezing,2.8571346939008747e-06
vouchers,-1.999994285730612e-05
bixi,-2.8571346939008747e-06
glutten,0.0
effects,-1.714280816340525e-05
gnoochi,0.0
sixteen,8.571404081702625e-06
undeveloped,0.0
saddened,-2.2857077551206998e-05
caramely,2.8571346939008747e-06
bartop,5.714269387801749e-06
shortchanged,0.0
arrow,-5.714269387801749e-06
ingrid,0.0
arroz,-5.714269387801749e-06
kincaids,-3.142848163290962e-05
windmill,-5.714269387801749e-06
allah,0.0
oohed,-8.571404081702625e-06
allan,0.0
phoenicians,1.714280816340525e-05
parasites,0.0
veracruz,5.714269387801749e-06
3years,5.714269387801749e-06
touts,-1.714280816340525e-05
whaddya,0.0
smirk,-8.571404081702625e-06
plateware,0.0
enviroment,-5.714269387801749e-06
mason,3.999988571461224e-05
encourage,1.4285673469504373e-05
noice,0.0
adapt,8.571404081702625e-06
dinginess,-5.714269387801749e-06
size,-1.4285673469504373e-05
smithfield,2.8571346939008747e-06
wonderbread,-2.8571346939008747e-06
abbott,0.0
stamping,0.0
batura,2.8571346939008747e-06
strata,-2.8571346939008747e-06
pizzafarro,0.0
pumpkins,0.0
corrects,0.0
pumpkiny,0.0
estimate,-1.1428538775603499e-05
ugghhh,-2.8571346939008747e-06
universally,5.714269387801749e-06
chlorine,-5.714269387801749e-06
silent,1.1428538775603499e-05
competes,1.4285673469504373e-05
sickeningly,0.0
sofritas,-2.8571346939008747e-06
disturbed,-5.714269387801749e-06
caminero,0.0
competed,-5.714269387801749e-06
dentures,0.0
vermecelli,1.714280816340525e-05
loudness,0.0
selfs,-8.571404081702625e-06
breed,2.8571346939008747e-06
aurelios,-2.8571346939008747e-06
palces,0.0
emaciated,0.0
pastorcito,0.0
filibertos,2.8571346939008747e-06
kfc,1.999994285730612e-05
chevron,-2.8571346939008747e-06
seizures,-2.8571346939008747e-06
households,2.8571346939008747e-06
olds,-1.4285673469504373e-05
renovated,1.4285673469504373e-05
service,2.8571346939008746e-05
ramyun,8.571404081702625e-06
zinfandel,2.8571346939008746e-05
reuben,1.714280816340525e-05
needed,5.714269387801749e-06
grossness,0.0
critter,2.8571346939008747e-06
mousseline,2.8571346939008747e-06
genesis,-2.8571346939008747e-06
caitlyn,0.0
rewards,1.4285673469504373e-05
slingin,-5.714269387801749e-06
swish,1.4285673469504373e-05
mutilated,0.0
